23
L,95,60,314,362,BLUE
L,119,311,352,111,GREEN
L,253,103,246,324,BLUE
L,125,235,378,243,BLUE
L,171,103,222,376,BLUE
L,113,270,374,206,GREEN
L,326,310,177,88,MAGENTA
L,346,86,83,198,BLUE
L,70,152,324,313,MAGENTA
L,379,161,116,324,MAGENTA
L,224,52,224,334,RED
L,52,244,338,273,RED
L,387,235,155,88,RED
L,292,82,245,352,RED
L,74,211,393,157,RED
R,48,45,255,171,MAGENTA
R,107,113,234,175,BLUE
R,187,190,176,83,BLUE
R,64,90,147,136,RED
R,182,25,177,103,RED
R,389,311,53,41,BLUE
R,77,215,214,131,BLUE
R,244,144,111,116,GREEN
